"eng__001","eng__002","eng__003","afr__001","afr__002","afr__003","afr__004","afr__005","afr__006","xho__001","xho__002","xho__003","xho__004","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","Syonym__-","nso__002","nso__003","nso__004","sot__001","sot__002","sot__003","ven__001","ven__002","ven__003","ven__004","ven__005","ven__006","tso__001","tso__002","tso__003","tso__004"
"background contamination","","","agtergrondkontaminering","agtergrondkontaminasie","","","","","ukungcoliseka ngempazamo","","","","kungcoliseka ngeliphutsa","","","","ukusilaphazeka ngephoso","","","kgotlhelo ya tikologo","","","","tšhilafatšophošo","","","","","tshilafatso e ipatileng","","","tshikafhadzo","","","","","","nthyakiso hi xihoxo","","",""
"bed rest","","","bedrus","","","","","","ukuphunyuliswa ngugqirha","","","","kuphumula embhedeni","","","","ukulatjhwa ngokulaliswa","ukulatjhelwa embhedeni","","thobadiso","","","","khutšišobolaong","","","","","kalafi ka phomotso diphateng","","","u awedzwa ha mulwadze","","","","","","ku wisa","","",""
"bed wetting","enuresis","","bednatmaak","enurese","","","","","ukuzichamela ulele","ukuchamela umandlalo","","","kutichamela ulele","kutitfundzela uma ulele","","","ukuthunda eengutjeni","","","thoteladikobo","","","","boroteladikobo","","bortelabolao","","","borota","","","u runda wo lala","u runda wo eḓela","","","","","ku titsakamisela evurhongweni","ku bobodla","",""
"benefit-risk profile","","","voordeel-risiko-profiel","","","","","","iinkcukacha zokuyinzuzo nokuyingozi","","","","luhlatiyo lwetinzuzo nebungoti","","","","icozululo lenzuzo nengozi","","","porofaele ya matshosetsi a kungwelo","","","","tshekatsheko ya dikholego le dikotsi","","","","","tjhebisiso ya melemo le dikotsi tsa kalafo","","","mbambedzo ya mbuelo na tshinyalelo","","","","","","nkambisisamatimu ya mbuyelonxungeto","","",""
"benign <adj.> {e.g. a tumour}","","","goedaardig","benigne","","","","","-nganweniyo","","","","-ngenangoti","","","","-ngabulaliko","-nganangozi","","- tlhokakotsi","","","","-tlhokago kotsi","","","","","-hlokang kotsi","","","si khombo","","","","","","-nkalakhombo","","",""
"bifocal {lenses}","","","bifokaal","","","","","","-bonisa kabini","","","","sibonisimabanga lamabili","","","","isibonisikabili","","","ponopedi","","","","ponopedi","","","","","ponopedi","","","mbonakavhili","","","","","","mavonisambirhi","","",""
"bile {secreted by liver}","gall","","gal","","","","","","inyongo","","","","inyongo","","","","inyongo","","","gala","gaumakwe","santlhoko","","nnyoko","","gala","","","nyooko","","","nyongwe","ndulu","","","","","nyongwa","","",""
"bioactivity","biological activity","","bioaktiwiteit","biologiese aktiwiteit","","","","","ukuguqulwa kwemo kokungena emzimbeni","","","","umphumela wesisetjentiswa kulokuphilako","","","","umphumela wesihlahla","","","boamaditshedi","","","","ditlamoragotekophedi","","matla a moriana mmeleng","","","tshebetso ya moriana mmeleng","matla a moriana mmeleng","","masiandaitwa a mushonga kha zwi tshilaho","","","","","","tirhelomirini","","",""
"bioavailability","biological availability","BA","biobeskikbaarheid","biologiese beskikbaarheid","","","","","umyinge osebenzayo kwichiza","umlinganiselo okhoyo egazini","","","silinganiso sesidzakamiva engatini","","","","ubungako besihlahla eengazini","","","bolengteng-mmeleng","botsenammele","","","kelonyanywa","","kelomonwa","","","boteng ba moriana mmeleng","","","phimo ya mushonga malofhani kha zwi tshilaho","","","","","","vukonamirini","","",""
"bioburden","biological burden","","biolas","biologiese las","","","","","umyinge weentsholongwane","","","","bungako bemagciwane","","","","ubungako bomulwana kokuphilako","","","tshailo ya megare","","","","paktheriantšitši","","bontši bja paketheria","","","bongata ba kokwanahloko mmeleng","","","phimo ya zwitzhili kha zwi tshilaho","","","","","","mpimo wa switsongwatsongwana","","",""
"bioequivalence","biological equivalence","BE","bioëkwivalensie","bio-ekwivalensie","biologiese ekwivalensie","biologiese gelykwaardigheid","","","ukusebenza ngokufanayo kwamachiza","","","","kusebentakufana kwetidzakamiva","","","","ukusebenza ngokufana kweenhlahla","","","tekanotshelo","","","","tekantšhohlaremmele","","","","","tekano ya meriana mmeleng","","","mbambedzo ya kushumele kwa mishonga kha zwi tshilaho","","","","","","ndzinganomatirhelo emirini","","",""
"biohazard","biological hazard","","biogevaar","biologiese gevaar","","","","","ubungozi kokuphilayo","","","","bungoti kulokuphilako","","","","ubungozi kokuphilako","ingozi kokuphilako","","tshosetso ya ditshedi","","","","kotsipheding","","","","","kotsi mothong le tikolohong","","","khombo kha zwi tshilaho","","","","","","swa nghozi eka swihanyi","xungetarihanyu","",""
"biological indicator {pharmacology}","bio-indicator","BI","biologiese aanwyser","bioaanwyser","","","","","isiqinisekisimo yokusebenza komzimba","","","","inkhombakuhlanteka","inkhomba yekungabi nemagciwane","","","ikombakuhlwengeka","ikombakuphepha","","tshupatlhweko","","","","tšhupotlhweko","","","","","sesupatlhweko","sesupabohlweki","","tsumba u kuna ha tshibveledzwa","","","","","","xikombanxuviwo","","",""
"biological marker","biomarker","","biologiese merker","biomerker","","","","","isiphawuli semompilo","","","","luphawu lwesimomphilo","","","","isitjengiso sokulawuleka kwesifo","","","selepamegare","selepaditwatsi","","","taetšopaktheria","","","","","letshwao la tlhweko","letshwao la bohlweki","","tsumbanyimele ya mutakalo","","","","","","xikombaxiyimo xa rihanyu","","",""
"biological medicine","biomedicine","","biologiese medisyne","biomedisyne","","","","","iyeza elenziwa ngokuphilayo","","","","umutsi lowentiwe ngalokuphilako","","","","isihlahla esenziwe ngokuphilako","ukwelapha ngokwesayensi","","kalafaditshedi","","","","sehlaresetšwadipheding","","","","","moriana o tswang sepheding","","","mushonga u bvaho kha zwi tshilaho","","","","","","murhi wo huma eka xihanyi","","",""
"bioprocessing","biological processing","","bioprosessering","biologiese prosessering","","","","","ukuvelisa kokuphilayo","","","","kukhicita ngalokuphilako","","","","ukukhiqiza ngokuphilako","ukwenza ngokuphilako","","tlhagiso-ka-ditshedi","","","","go tšwadiphedi","","","","","tlhahiso ya tse tswang sepheding","","","mveledza mushonga kha zwi tshilaho","","","","","","k’endla murhi hi swihanyi","","",""
"biopsy","","","biopsie","","","","","","uxilongosicwibi","","","","ibhayopsi","kukhishelwalucwaningo kwelintfweshu","","","ukuhlola ngokutshephula isitho","ibhayopsi","","bayopsi","","","","nyakišišothišu","","payopisi","","","bayopsi","","","u bvisa kupiḓa kwa u ṱola","bayopisi","","","","","bayopisi","","",""
"biosimilar","biological similar medical product","","biogelyksoortige middel","","","","","","umyelelachiza","umyelelayeza","","","umkhicitofana","","","","ukufana kweenhlahla","","","molemotshwana","","","","tšwanohlarepheding","","","","","tshwano ya meriana","","","mishongamveledzwa nga zwitshilaho i no fana","","","","","","swiendliwafanana hi swihanyi","swimakiwafanana hi swihanyi","",""
"biowaiver","biological waiver","","biokwytskelding","biotoetskwytskelding","","","","","imvume ekhethekileyo yovelisoyeza","ibhayoweyiva","","","imvumo lekhetsekile yekusebenta kufana kwetidzakamiva","ibhayoweyiva","","","ukungenzi ilingelelo lokusebenza kwesihlahla","","","tlolotlhatlhobo","","","","tshelohlahlobohlare","","","","","tumello ya ho tlohela mehato ya tlwaelo","","","ṋetshedzo ya thendelo ya u shuma nga zwi no fana","thendelo ya u linga mishonga","","","","","mpfumelelo wa ndzingetoxitlilinikali","","",""
"bipolar disorder","","","bipolêre versteuring","bipolêre steurnis","","","","","iqwakaza","iphuku","","","buncobodvo","ibhayiphola","","","isivukavukani","ipherhupherhukomizwa","","bolwetse jwa baephola","","","","matsogedi","","baephola","","","baephola","","","vhulwadze ha baiphoḽa","","","","","","vuvabyi bya swipfukelwa","","",""
"birth defect","","","geboortedefek","geboorte-afwyking","","","","","ukuzalwa unesiphako","ubulima ozelwe nabo","","","kuchwala","kukhubateka","","","uburhole","","","kgolagalopeleging","","","","bogoletlhago","","","","","bohole ba tlhaho","","","vhuhole ha u mbebo naho","vhuholefhalimbebyanaho","","","","","vutsoniwa","","",""
"black-box warning {on the drug's label}","","","gevaarwaarskuwing","swartraamwaarskuwing","","","","","isilumkiso sobungozi beyeza","","","","secwayiso sebungoti lobukhulu besidzakamiva","","","","isiyeleliso somphumela ongakalindeleki","isiyeleliso somphumela wangeqadi","","temosakotsi","","","","selemošakotsi","","","","","temoso ya kotsi","","","tsivhudzamasiandaitwa","","","","","","xilemukisanghozi","","",""
"bladder {organ}","","","blaas","","","","","","isinyi","","","","sinye","","","","isinye","","","setlha","senya","","","sebudula","","senya","","","senya","","","dundelo","","","","","","thundelo","ndzhundzelo {nhlamba}","",""
"blindness","","","blindheid","","","","","","ubumfama","","","","bumphumphutse","kungaboni emehlweni","","","ubuphofu","","","bofofu","","","","bofofu","","","","","bofofu","","","vhupofu","","","","","","vubofu","","",""
"blood bank","","","bloedbank","","","","","","uvimba wegazi","","","","sigciningati","libhangengati","silondvolotingati","silulungati","ibulungelo leengazi","ibulungelongazi","","polokelomadi","bodutelamadi","","","polokelomadi","","bokgobamadi","","","polokelo ya madi","","","mbulungelo ya malofha","","","","","","vuhlayiselangati","","",""
"blood clot","","","bloedklont","","","","","","ihlwili","","","","lihlwili","","","","ihlwili","","","letlhole","","","","lehlwele","","nkgothomadi","","","lehlwele","","","govho","","","","","","ndhendhe","gadi ra ngati","",""
"blood plasma","","","bloedplasma","","","","","","isiyilelogazi","iplazma yegazi","","","iplazima yengati","","","","iplazima yeengazi","","","seremadi","plasmamadi","","","plasma ya madi","","","","","plasma ya madi","","","pulasima ya malofha","","","","","","pulasima ya ngati","","",""
"bone marrow","","","beenmurg","","","","","","umongo","","","","umnkantja","","","","ummongo","","","mooko","","","","mooko","","","","","mooko","","","mwongo wa rambo","ṅongo wa rambo","ṅwongo wa rambo","","","","mongo","","",""
"booster dose","","","versterkdosis","onderskragingsdosis","","","","","umyinge wokomeleza","umlinganiselo wokomeleza","","","silinganisomutsi lesengetiwe","umtsamomutsi lowengetiwe","","","isilinganiso esingezelelako","","","mothamotsosoloso","tekanyetsamolemotsosololo","","","sematlafatšahlare","","","","","sematlafatsi","sematlafatsammele","","phimonyengedzedzo dza maswole a muvhili","","","","","","mpimamurhiengetelo","","",""
"brace","","","stut","","","","","","isilungelelanisi","isisekeli","","","sisekeli","silungisi","","","isisekelimathambo","umqabo","","kgokanyi","sefaphi","setshegetsi","","sethekgi","","","","","setshehetsi","","","kwilidzitsike","tsombo","tshiṱangu","","","","xihlangalala","xihakahlwa","",""
"bradycardia {unusually slow heartbeat}","brachycardia","","bradikardie","bragikardie","","","","","ukubetha kwentliziyo ngokucothayo","","","","kushaya kancane kwenhlitiyo","","","","ukubetha kabuthaka kwehliziyo","ukubethela phasi kwehliziyo","","kibo ka bonya","","","","pelosebetha ka go nanya","","","","","ho otla butle ha pelo","","","u divhitha ha mbilu","","","","","","mbho wa mbilu hi ku nonoka","","",""
"brain damage","","","breinskade","","","","","","ukwenzakala ebuchotsheni","","","","kulimala kwebucopho","","","","ukulimal kobuqopho","","","kgobaloboko","","","","kgobalobjoko","","","","","temalo ya boko","","","fuvhalo kha vhuluvhi","","","","","","mbavisekabyongo","","",""
"brand-name drug","","","handelsmerkmedisyne","handelsmerkmedikasie","","","","","igama loshishino lechiza","","","","luphawugama lwemutsi","","","","ibizomvezo lesihlahla","","","molemo wa tshwaiwa","","","","leinatshwayohlare","","leina la sehlare","","","lebitso la moriana le sireleditsweng","","","dzinavhuvhambadzi ḽa tshidzidzivhadzi","","","","","","xidzidziharisivitomumaki","","",""
"breast pump","","","borspomp","","","","","","isikhamimabele","","","","sikhamimabele","","","","isikghamimabele","","","segamamabele","segamamatsele","","","segamamatswele","","","","","sehamamatswele","","","tshihama maḓamu","","","","","","xikamavele","","",""
"brittleness {pharmaceutics}","","","brosheid","","","","","","izinga lobukrwabakrwaba","izinga lobuqwabaqwaba","","","kwephuka kalula","","","","ukuqephuka lula","","","thobegobebe","","","","thobegonolo","","","","","ho robeha habonolo","","","dzhenzheḓa","","","","","","vutshoveka-ku-olova","","",""
"bronchitis","","","brongitis","","","","","","iphika","","","","lukhwehlekhwehle","","","","isifo sokuvaleka kwemithambo yamaphaphu","ibhronkhayithisi","","bronkhaetisi","","","","tšhatšhamelothurugo phaepheswafo","","poronkhaithisi","","","bronkhaethisi","","","vhuvalwakhana","bronkhaithisi","","","","","mpfimbaxinkolwana","ndzhumbelaxinkolwana","",""
"bronchodilator","","","brongodilator","lugpypverruimer","","","","","isivulimiphunga","isivulisifuba","","","sivulamaphaphu","","","","isivulimithambo samaphaphu","","","sebulameselomowa","","","","sethušapuladiphaephe swafo","","sethibolla mafahla","","","sebodulamatshwafo","","","tshivulakhana","","","","","","xipfulaxinkolwana","","",""
"bruise","contusion","","kneusplek","kneusing","kneus","","","","umgruzuko","","","","umhubuko","lidvuma","ingongoma","umvimbo","ibala lokubetheka","ibala lokuqhula","","lebote","letsadi","","","matetelo","","","","","letetetso","","","u khuvhuwa","u khuzuwa","u khuruwa","","","","felangati","","",""
"bulimia {disturbance in eating behaviour}","","","bulimie","","","","","","isigulo sokuzigabhisa","ibhulimiya","","","sifo sekudla utihlantise","ibhulimiya","","","isifo sokudlela ukuhlanza","ibhulimiya","","bulimia","","","","pulimia","","","","","bohloko ba ho itlhatsisa","bulimia","","buḽumia","","","","","","bulimiya","","",""
"bunion","","","knokkel","","","","","","ibhanyanisi","","","","likhona","","","","ibhaniyoni","","","kokobiti","banione","","","paniyone","","","","","tshere ya monwana o motona wa leoto","banione","","buniyoni","khontsi","","","","","baniyoni","nghonokakhundzu","",""
"calamine","","","kalamyn","","","","","","ikhalamayini","","","","ikhalamayini","","","","ikhalamayini","","","khalamaene","","","","khalamaene","","","","","khalamaene","","","khaḽamaini","","","","","","khalamayini","","",""
"callus","callous","","eelt","kallus","","","","","ikonsi","","","","sikofu","","","","ikhonsi","ikhona","","khonse","leropi","","","lephone","","letswabadi","","","letswabadi","","","phone","khontsi","","","","","mbhonya","","",""
"calorie","","","kalorie","","","","","","umlinganiselomandla okutya","ikhalori","","","silinganiso-mandla-sekudla","ikhalori","","","ikhalori","","","khalori","","","","khalori","","","","","khalori","","","khaḽorisi","","","","","","khalori","","",""
"camomile","chamomile","","kamille","","","","","","inxina","ikhemomayili","","","ikhemomayili","luhlobo lwemsutane","","","ikhemomayili","","","khemomaele","","","","khemomaele","","","","","khemomaele","","","khamomaiḽi","","","","","","khamomayili","","",""
"camphor","","","kamfer","kanfer","","","","","ikhamfara","","","","ikhemfa","","","","ikhemfa","","","khemfa","","","","khemfa","","","","","khamfore","","","khemfa","","","","","","khemfa","","",""
"cannula","","","kanule","","","","","","umbhobho wonyango","ikhanula","","","lishubhu","ikhanyula","","","ikhenyula","","","khenyula","","","","khanyula","","","","","khanyula","","","khanuḽa","","","","","","khanula","","",""
"caplet","","","kaplet","","","","","","ipilisi ebumbhoxo","ipilisi embhuntshuntshu","","","lipilisi lelidze","ikhaphulethi","","","ipilisi","ikheplethi","","kgopapilisi","","","","khapolete","","","","","kheplete","","","khephuḽethe","","","","","","khepulete","","",""
"capping","","","dekselvorming","","","","","","ukwahluka kubini kwepilisi","","","","kucetuka kweliphilisi","","","","isivalo sepilisi","","","phosopilising","","","","phošo-philising","","","","","kheping","","","u fhandekana ha philisi","","","","","","mphemuko","nkwamuko","",""
