"eng__001","eng__002","eng__003","eng__004","eng__005","afr__001","afr__002","afr__003","afr__004","afr__005","zul__001","zul__002","zul__003","xho__001","xho__002","xho__003","ssw__001","ssw__002","ssw__003","ssw__004","nde__001","nde__002","nde__003","nde__004","tsn__001","tsn__002","tsn__003","tsn__004","nso__001","nso__002","nso__003","sot__001","sot__002","ven__001","ven__002","ven__003","ven__004","tso__001","tso__002","tso__003","tso__004"
"code of conduct","","","","","gedragskode","","","","","indlela yokuziphatha","","","umgaqo wokuziphatha","","","indlela yekutiphatsa","","","","imithetho yokuziphatha","","","","melawana ya maitsholo","","","","melao ya boitshwaro","","","molawana wa boitshwaro","","milayo ya vhuḓifari","","","","milawu ya matikhomelo","","",""
"commission","","","","","kommissie","","","","","ikhomishani","","","ikomishini","ikomishoni","","ikhomishini","","","","ikomitjhini","","","","khomišene","komisi","","","khomišene","","","khomishene","","khomishini","","","","khomixini","","",""
"common voters’ roll","voters’ roll {in an area}","","","","algemene kieserslys","","","","","uhlu lwabavoti","","","uluhlu lwabavoti","","","luhlu lwebavoti","","","","irhelo labavowudi","","","","lenaane la batlhophi","","","","lenaneo la bakgethi","","","lenane la bakgethi","","mutevheguṱe wa vhakhethi","mutevheguṱe wa vhavouti","","","nxaxamelo wa vahlawuri","nxaxamelo wa vavhoti","",""
"communal roll","communal voters’ roll","","","","kommunale kieserslys","groepsentriese kieserslys","","","","uhlu lwabalungele ukuvota","","","uluhlu lwabavoti ngokohlanga","","","luhlu lwebavoti ngekwebuhlanga","","","","umtlolo wabalungele ukuvowuda","irolo yabavowudi","","","lenaanetlhophi","lenaane la batlhophi","","","lenaneotlhaolele la bakgethi","","","karolo ya lenane la bakgethi","","redzhistara ya vhakhethi","redzhistara ya vhavouti","","","rhijistara ra vahlawuri","rhijistara ra vavhoti","",""
"community election","","","","","gemeenskapsverkiesing","","","","","ukhetho lomphakathi","","","unyulo ngabahlali","","","lukhetfo lwemmango","","","","ikhetho lomphakathi","","","","ditlhopho tsa baagi","","","","dikgetho tša setšhaba","","","dikgetho tsa setjhaba","","khetho dza tshitshavha","khetho dza vhadzulapo","","","nhlawulo wa muganga","","",""
"community representative","","","","","gemeenskapsverteenwoordiger","","","","","omele umphakathi","","","ummeli woluntu","","","ummeleli wemmango","","","","umjameli womphakathi","","","","moemedi wa baagi","","","","moemedi wa setšhaba","","","moemedi wa setjhaba","","muimeleli wa tshitshavha","muimeleli wa vhadzulapo","","","muyimeri wa muganga","","",""
"compilation form","","","","","kompilasievorm","","","","","ifomu lokuqoqela imininingwane","","","ifom yozalisonkcukacha","","","lifomu","","","","iforomo lemininingwana","","","","foromo","","","","foromo yeo e beakantšwego","","","foromo e tlatswang","","fomo ya u kuvhanganya","","","","fomo","","",""
"consensus","","","","","konsensus","ooreenstemming","","","","ukuvumelana","","","imvumelwano","ukuvumelana","","kuvumelana","","","","ukuvumelana","ukuzwana","","","tumelano","kutlwanelo","","","tumelelano","","","tumellano","","thendelano nga huswi","thendelano","","","mpfumelelano","","",""
"conservative <n.>","","","","","behoudende","konserwatief","konserwatiewe","","","untamolukhuni","","","untamolukhuni","","","ntsamolukhuni","","","","umalitjhuguluko","ongathandi itjhuguluko","","","moganadiphetogo","","","","moganadiphetogo","","","mohanaphetoho","","muhanatshanduko","","","","mualahundzuko","mualancinco","",""
"constituency","","","","","kiesafdeling","","","","","abavoti beqembu","","","ummandla wovoto","iqela labavoti bengingqi","","sigodzilukhetfo","sigcemelukhetfo","","","isifundakhetho","","","","kgaolotlhopho","karolotlhopho","","","karolokgetho","","","lebatowa","","vhukhethelo","","","","ndhawu ya vahlawuri","","",""
"constituency council","","","","","kiesafdelingsbestuur","","","","","umkhandlu wabamele iqembu","","","ibhunga lommandla wovoto","","","umkhandlu wesigodzilukhetfo","umkhandlu wesigcemelukhetfo","","","umkhandlu wesifundakhetho","","","","kgotla ya kgaolotlhopho","khansele ya karolotlhopho","","","khantshele ya karolokgetho","","","khansele ya lebatowa","","khoro ya vhukhethelo","","","","huvo ya xifundza xa vahlawuri","huvo ya xifundza xa vavhoti","",""
"constituency system","","","","","kiesafdelingstelsel","","","","","inqubo yesiyingi sokhetho","","","inkqubo yommandla wovoto","","","inchubo yesigodzilukhetfo","inchubo yesigcemelukhetfo","","","irherho lesifundakhetho","","","","thulaganyo ya kgaolotlhopho","thulaganyo ya karolotlhopho","","","tshepetšo ya karolokgetho","","","mokgwa wa tsamaiso ya lebatowa","","sisteme ya vhukhethelo","","","","huvo ya xifundza","","",""
"constitution","","","","","grondwet","","","","","umthethosisekelo","","","umgaqo-siseko","","","umtsetfosisekelo","","","","umthethosisekelo","","","","molaotheo","","","","molaotheo","","","molao wa motheo","","ndayotewa","","","","vumbiwa","","",""
"Constitutional Assembly","CA","","","","Grondwetlike Vergadering","","","","","Isigungu Somthethosisekelo","","","iQumrhu loMgaqosiseko","","","Libandla Lemtsetfosisekelo","","","","isiBethamthetho somThethosisekelo","","","","Kokoanopeomolao","","","","Lekgotla la Molaotheo","","","lekgotla la ketsamolao la molao wa motheo","","Buthano ḽa Ndayotewa","Buthano ḽa Mulayotewa","","","Huvo ya Vumbiwa","","",""
"Constitutional Court","RSA","","","","Konstitusionele Hof","","","","","Inkantolo Yomthethosisekelo","","","iNkundla yoMgaqosiseko","","","Inkantolo Yemtsetfosisekelo","Bandlakhulu Wemtsetfosisekelo","","","iKhotho yom Thethosisekelo","","","","Kgotlatshekelokgolo ya Molaotheo","","","","Kgorotsheko ya Molaotheo","","","Lekgotla la Dinyewe tsa Molao wa Motheo","","Khothe ya Ndayotewa","","","","Huvo ya Vumbiwa","Khoto ya Vumbiwa","",""
"constitutional democracy","","","","","grondwetlike demokrasie","","","","","intando yabantu ngokomthethosisekelo","","","intando yesininzi esekelwe kumgaqosiseko","","","intsandvo yelinyenti ngekwemtsetfosisekelo","","","","umthethosisekelo wentando yenengi","","","","temokerasi ya Molaotheo","","","","temokerasi ya go thewa godimo ga molaotheo","","","demokerasi ya molao wa motheo","","dimokhrasi ya ndayotewa","dimokhrasi ya mulayotewa","","","xidemokirasi xa vumbiwa","","",""
"constitutional right","","","","","grondwetlike reg","","","","","ilungelo ngokomthethosisekelo","","","ilungelo ngokomgaqo-siseko","","","lilungelo ngekwemtsetfosisekelo","","","","ilungelo ngokomthethosisekelo","","","","tshwanelosemolaotheo","","","","tokelo go ya ka molaotheo","","","tokelo ya molao wa motheo","","pfanelo ya ndayotewa","pfanelo ya mulayotewa","","","mfanelo ya vumbiwa","","",""
"consultation","","","","","konsultasie","","","","","ukubonisana","","","ukubonisana","ukucebisana","ukulumana indlebe","kubonisana","","","","ukuthintana nomphakathi","ukubonisana nomphakathi","","","therisanelo","puisanelo","","","therišano","","","therisano","","vhuvhudzisi","ṱhoḓangeletshedzo","","","vutihlanganisi","","",""
"contest","v.","","","","betwis","","","","","ukungenela ukhetho","","","ukuzigqatsela unyulo","","","chudzelana","","","","-phalisana ekhethweni","","","","gaisana","","","","phenkgišana","","","-iketa","","pikisana","","","","phikizana","","",""
"contiguous district","","","","","aangrensende distrik","","","","","isifunda esinezindawo ezixhumene","","","ummandla oneendawo ezimeleneyo","","","sifundza lesinetigodzi letihlangene","sifundza lesinetigceme letihlangene","","","iinyingi ezitjhideleneko","","","","kgaolotlhophomabapi","kgaolotlhophokopantsweng","","","seletetlhopho","","","setereke sa mabatowa a bapileng","","tshiṱiriki tsho vhandekanaho","","","","miganganyingi","","",""
"contravention of code","","","","","oortreding van kode","","","","","ukuphikisana nendlela yokuziphatha","","","ukwaphulwa komgaqo","","","kwephula umgomo lobekiwe","","","","ukwephula umthetho","ukweqa umthetho","","","kgatakomolawana","tlolomolawana","","","tshelo ya melawana","","","tlolo ya molao wa boitshwaro","","u pfuka mulayo","","","","ku tlula nawu","","",""
"control","n.","majority control","","","meerderheidsbeheer","","","","","ukulawula","","","ulawulo","","","kulawula","","","","ilawulo","amandla wokubusa","","","taolo","","","","taolo","","","taolo","","ndaulo","ndango","","","ndzawulo","","",""
"controlled area","","","","","beheerde gebied","afgebakende gebied","","","","indawo eklanyiwe","","","indawo ephantsi kolawulo","","","indzawo lebiyelwe","","","","indawo elawulwako","","","","lefelo le le laolwang","","","","lefelo leo le laolwago","","","sebaka se taolong","","vhupo ha ndaulo","vhupo vhu laulwaho","","","ndhawu leyi lawuriwaka","","",""
"council","","","","","raad","","","","","umkhandlu","","","ibhunga","","","umkhandlu","","","","umkhandlu","","","","lekgotla","khansele","","","khantshele","","","khansele","","khoro","","","","huvo","","",""
"councillor","","","","","raadslid","","","","","ikhansela","","","uceba","","","likhansela","","","","ikhansela","","","","mokgotla","mokhansela","molekgotla","","mokhantshelara","","","lekhanselara","","mukhantseḽara","","","","mukhanselara","","",""
"counter","of votes","","","","teller","","","","","umbalimavoti","obalayo","","umbali","isibali","","umbani","sibali","","","umbani","isibali","","","mmadi","sebadi","","","mmadi","","","mmadi","sebadi","muvhali","tshivhali","","","muhlayeri","xihlayeri","",""
"counterfoil","stub","","","","teenblad","","","","","isigqebhezana sobufakazi","","","intsalela yerisithi ebubungqina","","","sifakazeli","","","","isalela yerasidi","ikhawunthafoyili","","","khaontafoele","tshalelotshupo","","","khaonthafoele","","","khaonthafoele","","khaunthafoiḽi","","","","khawuntafoyili","","",""
"counter-productive","","","","","teenproduktief","","","","","okungayisindawo","okungalindelekile","","umqobo kwiziphumo ezifuneka","","","-ba nemphumela longakalindzelwa","","","","-nomphumela ophambeneko","-nomphumela ophikisako","","","poelomorago","","","","ditlamorago tšeo di sa emelwago","","","sepheto se hananang","","u lwa na mveledziso","","","","mbuyelokaneto","","",""
"counting checklist","","","","","telkontrolelys","","","","","okubhekwayo","","","uluhlu lokuqinisekisa okubalwa","","","luhlu lwekuhlola lubalo","","","","irhelohlolo lokubala","","","","lenaanenetefatso","lenaanetlhomamiso","","","lenaneotekolo la go balwa ga dibouto","","","lenanetekolo la ho bala","","mutevhetsedzulusi wa kuvhalela","","","","nongoloko wa nkambelo wa nhlayelo","","",""
"counting irregularity","","","","","tel-onreëlmatigheid","","","","","iphutha ekubaleni","","","ubugwenxa kubalo","","","liphutsa ekubaleni","","","","umtjhapho wokubala","","","","phosopalelo","","","","phošo ya go balela dibouto","","","phoso palong","","vhukhakhi kha u vhala","","","","xihoxo xo hlayela","","",""
"counting officer","","","","","telbeampte","","","","","obhekelela ukubala","","","igosa lobalo eliphetheyo","","","sisebenti sekubala","","","","isiphathiswa sezokubala","","","","motlhankedipalelo","","","","mohlankedi wa go balela dibouto","","","mohlanka wa ho bala","","muofisiri wa u vhala","","","","muofisiri wo hlayela","","",""
"counting of votes","","","","","tel van stemme","","","","","ukubalwa kwamavoti","","","ubalo lweevoti","","","kubalwa kwemavoti","","","","ukubalwa kwamavowudi","","","","paloditlhopho","palodivoutu","","","go bala dibouto","","","palo ya dikgetho","","u vhaliwa ha dzivoutu","","","","ku hlayeriwa ka tivhoti","","",""
"counting report form","","","","","telverslagvorm","","","","","ifomu lombiko wokubala","","","ifom yengxelo yobalo","","","lifomu lekubika ngekubala","","","","iforomo lombiko wokubala","","","","foromopegelo ya paloditlhopho","foromopegelo ya palodivoutu","","","foromo ya pego ya go balwa ga dibouto","","","foromo ya tlaleho ya ho bala","","fomo ya muvhigo wa u vhala","","","","fomo ya xiviko xa nhlayelo","","",""
"counting station","counting centre","","","","telsentrum","","","","","isikhungo sokubalela","","","iziko lobalo","isikhululo sokubalela","","siteshi sekubalela","sikhungo sekubalela","","","isitetjhi sokubalela","","","","seteišene sa paloditlhopho","senthara ya paloditlhopho","","","setiši sa go balela dibouto","","","setsi sa ho balla","","senthara ya u vhala","tshiṱitshi tsha u vhala","","","xitichi xo hlayelela tivhoti","","",""
"cronyism","","","","","boetieïsme","kornuitbegunstiging","","","","ukuqasha ngokwazana","ukuqasha ngobungani","","ukuqesha abahlobo kwizikhundla zolawulo","","","kucashana ngekwatana","kucashana ngebungani","","","ukuqatjhana ngokwazana ngokwepolotiki","","","","thapo- ka- botsala","","","","thwalo ka sekgotse","","","sewesoweso","","tshiḓivhano","","","","ku tholana hi ku tivana","ku tholana hi xixaka","",""
"cross","","","","","kruisie","","","","","isiphambano","","","uphawu lovoto","ungxabalaza","","siphambano","","","","isiphambano","isiphambani","","","sefapaano","","","","sefapano","","","sekere","","tshifhambano","","","","xihambano","","",""
"cross-cutting cleavage","cross-cutting support","","","","dwarssnydende steun","","","","","ukwethembeka eqenjini","","","intembeko yabavoti engenalucalulo","","","kwetsembeka kwebavoti lokungenambandzela","kwetsembeka kwebavoti lokungakhetsi","kwetsembeka kwebavoti lokungenamncele","","ukuthembeka ngokunganamkhawulo","","","","boineelotatedi","","","","potegelo ya go se hlaole magomo","","","botshepehi bo sa kgetheng","","thikhedzo ya mirafho yoṱhe","","","","ntshembo wa vaseketeri ku nga ri hi mbala","","",""
"cumulation","","","","","kumulasie","","","","","ukuvumeleka ukuvota kaningana","","","ilungelo lokuvotela umgqatswa kaninzi","","","lilungelo lekukhetsa lilunga kanyenti","","","","ilungelo lokukhetha umuntu munye kanengi","","","","tlhophontsi ya ntlhopheng","","","","kgethontši","","","kgetho ya motho a le mong ha ngata","","u khetha lunzhi","u vouta lunzhi","","","ku hlawula muyimelakulangwa ko tala","ku vhotela muyimelakulangwa ko tala","",""
"declaration","","","","","aankondiging","bekendmaking","","","","isimemezelo","","","ubhengezo olusesikweni","","","simemetelo lesisemtsetfweni","satiso lesisemtsetfweni","","","isimemezelo","","","","kitsisokano","tlhomamiso","","","tsebagatšo","","","phatlalatso","","mulevho","nḓivhadzo ya tshiofisi","","","xihlambanyo","","",""
"declaration of secrecy","","","","","verklaring van geheimhouding","","","","","isifungo sobumfihlo","","","isifungo sobumfihlo","isifungo semfihlo","","sifungo sekuba nemfihlo","sifungo sekuba nesifuba","","","isifungo sokuba nefihlo","","","","kanobophiri","","","","boikano bja go swara sephiri","","","kano ya ho boloka sephiri","","muano wa tshiphiri","","","","xihlambanyo xa vuhundla","","",""
"declaration vote","","","","","verklaringstem","","","","","ivoti longekho ohlwini kunobufakazi bokubhalisa","","","ivoti yobengekho kuluhlu lwabavoti","","","kuvota ngekucinisekisa","","","","ivowudi yokuqinisekisa","","","","tlhophokano","voutukano","","","bouto ya boikano","","","kgetho ka kano","","voutu ya khwaṱhisedzo","khetho ya khwaṱhisedzo","","","vhoti ya ku hlambanya","","",""
"declare elected","","","","","verkose verklaar","","","","","ukumenyezelwa njengokhethiwe","","","-bhengezwe njengowonyuliweyo","","","-menyetelwe njengalokhetsiwe","","","","-menyezelwe njengokhethiweko","","","","kanotlhopho","","","","tsebišo ya go kgethwa","","","-phatlalatswa o kgethilwe","","u ḓivhadzwa uri o khethwa","","","","ku tivisiwa ku va loyi a hlawuriweke","","",""
"deficit","","","","","tekort","","","","","okushodayo","","","intsilelo","","","kushoda","kungeneli","kusilela","","itlhayelo","","","","tlhaelo","","","","tlhaelelo","","","kgaello","","ṱhahelelo","milandu","zwikolodo","","nkayivelo","","",""
"demarcation","","","","","afbakening","","","","","ukuklama","","","ukucandwa kwemida","","","kukanisa","","","","ukusika","ukuhlukanisa","ukuqinta","","kgaoganyo","","","","tshego ya mellwane","","","tsheho ya moedi","","mukano","","","","ndzelekana","","",""
"demarcation board","","","","","afbakeningsraad","","","","","ibhodi eliklama imingcele","","","ibhodi yocando lwemida","","","libandla lekukanisa","ibhodi yemincele","","","ibhodo yemikhawulo","ibhodo eqintako","ibhodo esikako","","boto ya melelwane","","","","poto ya tshego ya mellwane","","","boto ya tsheho ya moedi","","bodo ya mikano","","","","bodo ya mindzelekana","","",""
"demarcation tape","","","","","afsperband","","","","","intambo yokuklama","","","ulutya lokwahlula umda wendawo yovoto","","","ithephu yekukanisa","","","","itheyiphu yokukhawulela","","","","theipi ya legora","","","","theiphi ya go laetša mellwane","","","theipi ya tsheho ya moedi","","theiphi ya mukano","","","","thepi ya ndzelekana","","",""
"democracy","","","","","demokrasie","","","","","intando yabantu","","","ulawulo lwentando yesininzi","","","intsandvo yelinyenti","idemokhrasi","","","idemokhrasi","intando yenengi","","","demokerasi","temokerasi","","","temokerasi","","","demokerasi","","dimokhrasi","","","","xidemokirasi","","",""
