,eng ,eng definition ,category,afr ,nde ,xho ,zul ,nso ,sot ,tsn ,ssw ,ven ,tso 
68,Compulsory education,The number of years or the age-span during which children and youth are legally obliged to attend school.,Education,Verpligte onderwys,Ifundo ekatelelekileko,Imfundo esisinyanzelo,Imfundo ephoqelekile,Thutokgapeletego,Thuto ya tlameho; thuto e tlamang,Thutopateletso; thutokgapeletso,Imfundvo lephocelekile,Pfunzokhombekhombe,Dyondzo yo boha
69,Crude enrolment ratio,Percentage of the total enrolment at all levels to the total population.,Education,Onverwerkte inskrywingsverhouding,Iretjhiyo engakahlungwa yokutloliswa,Umlinganiselo wobhaliso olungahluzwanga,Isilinganiso esididiyele sababhalisile,Tekanyokelokakareto ya boingwadio,Karolo ya baingodisi bohle; palo ya boingodiso bohle,Kabogotlhe ya ikwadiso,Sichatsanisosibalo salababhalisile,Ndivhanele ya kuwaliselevhisi,Mpimoxiave wa ntsarisombisi
70,Distance learning,"Study by means of correspondence, telecommunication media or computer programmes. Courses are self-instructional and two-way communication takes place between student and the institution. Learners need not be on campus to attend classes but can continue their normal work programmes at home.",Education,Afstandsonderrig,Ukufunda usekhaya,ukufunda ngembalelwano,Ukufunda ngeposi,Go ithuta o le gae,Thuto ka ngollano,Thutelagae,Kufundza ngeliposi / Kufundza khashane ngasese,U guda u hayani,Vudyondzawexe / Vudyondzayexe
71,Drop-out rate,Learners who leave the education system without completing a given grade. The drop-out rate is calculated as a residual figure which is derived after the repetition and promotion rates are calculated. The drop-out rate in a particular grade for a particular year is calculated by simply deducting the repetition and promotion rate for that particular grade and year from 100%.,Education,Uitsakkoers,Izinga labaqinteleko,izinga lokuyeka phakathi esikolweni,Izinga lokuyeka isikole,Reiti ya go tlogela sekolo/ Kelo ya balesasekolo,Sekgahla sa ho nyahlatsa dithuto,Kelotlogelosekolo,Lizinga lalabayekela sikolo,Phimo ya u litsha tshikolo/ vhamoi,Mpimo wa vutshikaxikolo
72,Education institution,"Any institution providing education. Inclusions: early childhood education, primary, secondary, further or higher education, institution providing specialised, vocational, adult, distance or community education.",Education,Onderwysinstelling,Iziko lezefundo,iziko lwemfundo,Isikhungo semfundo,Setheo / Sehlongwa sa thuto,Setsi / Setheo sa thuto / Institjushene ya thuto,Setheothuto,Sikhungo setemfundvo,Tshiimiswa tsha pfunzo,Ndhawu ya dyondzo
73,Educational achievement,Deprecated. Use highest level of education or educational attainment.,Education,Onderwysprestasie,Izinga lefundo,Impumelelo kwimfundo,Imfundo ezuziwe,Phihlelelo ya thuto,Boiphihlelo thutong,Phitlhelelothuto,Lokuzuziwe kutemfundvo,Pfunzotswikelelwa ya nhesa,Vuhumeleri eka tidyondzo
74,Educational attainment,See highest level of education.,Education,Onderwysvlak bereik,Izinga lefundo,Imfundo efumanekileyo,Imfundo okufinyelelwe kuyo,Phihlelelo ya thuto,Boiphihlelo thutong,Phitlhelelothutong,Sigaba lesiphakeme lofinyelele kuso,Pfunzotswikelelwa ya nhesa,Vuhumeleri eka tidyondzo
75,Educational institution,"Any registered institution whose sole or main purpose is the provision of education, including preschool, tertiary, adult education, etc.",Education,Onderwysinstelling,Iziko lefundo; isijamiso sefundo,Iziko lemfundo,Isikhungo semfundo,Lefelo la thuto/ insitituene ya thuto,Setsha se ngodisitsweng sa thuto; institjhushene ya thuto,Setheothuto; sekolo,Sikhungo setemfundvo,Tshiimiswa tsha pfunzo,Ndhawu yo dyondzela
76,Educator,"Any person who teaches, educates or trains other persons or who provides professional educational services.",Education,Opvoeder,Umfundisi / Umdlulisilwazi / Utitjhere,"umfundisi-ntsapho, umhlohli, utitshala",Umfundisi / Uthisha,Morutii,Titjhere / Morupedi,Morutisi / Morutabana,Umfundzisi / Thishela,Mugudisi / Mudededzi,Mudyondzisi
77,Enrolled learner,A learner who is registered at a school.,Education,Ingeskrewe leerder,Umfundi otlolisileko / Otlolisiweko,umfundi obhalisileyo,Umfundi obhalisile,Morutwana yo a ngwadiitwego,Moithuti ya ngodisitsweng,Morutwana / Morutwanakwadiswa,Umfundzi lobhalisile,Mugudi o waliswaho,Mudyondzi loyi a tsarisiweke
78,Enrolment,The act of officially being admitted to a programme of study.,Education,Inskrywing,Ukutlolisa,"ukubhaliswa, ubhaliso",Ukubhalisa,Boingwadio,Ngodiso,Ikwadiso,Lubhaliso,U walisa / Vhuwalisi,Ntsariso wo dyondza
79,Enrolment ratio,Proportion of the population in a specified age group attending school to the total population in that age group.,Education,Inskrywingsverhouding,Iretjhiyo yokutloliswa,Umlinganiselo wobhaliso,Isilinganiso sababhalisile,Tekanyokelo ya boingwadio,Karolo ya baingodisi; palo ya boingodiso,Kabokwadiso,Sichatsanisosibalo sekubhalisa,Ndivhanele ya kuwalisele,Mpimoxiave wa ntsariso
80,Field of study,The area of concentration of tertiary studies.,Education,Studieveld,Ikoro yeemfundo,Ikhondo lezemfundo,Umkhakha wezemfundo,Lefapa la boithutelo,Lekala le ikgethileng la thuto; lekala la thuto,Lekalathuto,Umkhakha wekufundza,Buo/sia a ngudo,Muxaka wa tidyondzo
81,Formal education,The education attained at an educational institution that follow a given approved curriculum.,Education,Formele onderwys,Ifundo ehleliweko,Imfundo sesikweni,Imfundo ehlelekile,Thuto ya semolao,Thuto ya mananeo a hlophisitsweng; thuto e hlophisitsweng,Thutotlhomamo,Imfundvo lehlelekile,Pfunzonzudzanywa,Dyondzo ya ximfumo
82,Grade,A stage of instruction usually covered in one school year.,Education,Graad,Ibanga; igreyidi,Ibanga,Ibanga,Kereiti,Kereiti,Mophato; kereiti,Libanga,Murole / gireidi,Giredi
83,Grade-specific enrolment ratio,Ratio of the enrolment in a specific class to the total enrolment at all levels.,Education,Graadspesifieke inskrywingsverhouding,Iretjhiyo yokutloliswa ngamabanga,Umlinganiselo wobhaliso lwebanga elithile /ireshiyo yobhaliso lwebanga elithile,Isilinganiso sababhalisele ibanga elithile,Tekanyokelo ya boingwadio kereiting ye e itego,Karolo ya barutwana ho ya ka kereiti; palo ya boingodiso kereiting,Kabokwadiso ka mophato,Sichatsanisosibalo sekubhalisa ngekwelibanga,Ndivhanele ya kuwaliselendivhiswa kha murole / gireidi,Mpimoxiave wa ntsariso wa giredi yo karhi
84,Graduate,A student who has successfully completed all requirements of an educational programme and has been awarded a certificate of completion.,Education,Gegradueerde,Isifundiswa,"isinxiba-mxhaka, isifundiswa",Umfundi ophothulile,Sealoga,Lekrajueti,Sealogane,Loneticu temfundvo,Mugiradzhuweithi,Muthwasi
85,Gross enrolment ratio (GER),"The total enrolment of pupils in a grade or cycle or level of education, regardless of age, expressed as percentage of the corresponding eligible official age-group population in a given school year.",Education,Bruto inskrywingsverhouding (BIV),Iretjhiyo epheleleko yokutloliswa (I-GER),Umlinganiselo wobhaliso lulonke (iGER),Isamba sababhalisile,Tekanyokelokakareto ya boingwadio,Karolo ya barutwana ho ya ka dilemo; palo ya boingodiso bohle,Kabokwadiso ya botlhe (KKB),Sichatsanisosibalo sekubhalisa lokuphelele,Ndivhanele ya kuwaliselegue (GER),Mpimoxiave wa ntsariso hinkwawo (MNH)
86,Higher education,"All learning programmes leading to qualifications higher than grade 12 or its equivalent in terms of the National Qualifications Framework as contemplated in the South African Qualifications Authority Act, 1995 (Act No. 58 of 1995), including tertiary education as contemplated in schedule 4 of the Constitution.",Education,Hor onderwys,Ifundo ephakemeko,imfundo ephakamileyo,Imfundo ephakeme,Thuto ya godimo,Thuto e phahameng,Thutokgolwane,Imfundvo lephakeme,Pfunzo ya nha,Dyondzo ya le henhla
87,Higher education institution,"Any institution that provides higher education on a full-time or part-time basis, and which is established or deemed to be established as a public higher education institution under the Higher Education Act, 1997; and declared as a public higher education institution under the Higher Education Act, 1997.",Education,Horonderwysinstelling,IZiko leFundo ePhakemeko,iziko lemfundo ephakamileyo,Isikhungo semfundo ephakeme,Setheo / Sehlongwa sa thuto ya godimo,Setheo sa thuto e phahemeng / Institjushene ya thuto e phahemeng,Setheothutokgolwane,Sikhungo semfundvo lephakeme,Tshiimiswa tsha pfunzo ya nha,Ndhawu ya dyondzo ya le henhla
88,Highest level of education,The highest grade completed at school or the highest post-school qualification obtained. Synonym is educational attainment.,Education,Hoogste onderwysvlak,Izinga eliphakemeko lefundo,Inqanaba eliphezulu lemfundo,Izinga/ iqophelo eliphezulu lemfundo,Legato la godimodimo la thuto,Boiphihlelo bo phahameng thutong,Phitlhelelokgolothutong,Lizinga lemfundvo leliphakeme lekugcina,Pfunzotswikelelwa ya nhesa,Mfikelelo wa le henhla wa tidyondzo
89,Home education,"A programme of education that a parent of a learner(s) may provide to his / her child at their own home. In addition a parent may, if necessary, enlist the specific services of a tutor for specific areas of the curriculum; or a legal independent form of education, alternative to attendance at a public or an independent school.",Education,Tuisonderwys,Ifundo yekhaya / Ifundiso,imfundo eqhutyelwa ekhaya,Ukufundela ekhaya,Thuto ya gae,Thuto ya lapeng,Thutelwagae / Thutelogae,Imfundvo yasekhaya,U funzelwa hayani,Dyondzo ya le kaya
90,Informal learning,Learning that has been acquired outside a formal course of study taken at a post-secondary institution. Also expressed as non-formal or experiential learning.,Education,Informele onderrig,Ukufunda okungakahleleki,ukufunda okungamiselekanga,Ukufunda okungahleliwe,Go ithuta mo e sego ga semmuo / Go ithuta go go sa elwego sekolong,Thuto ntle le ho kena sekolo,Thutotlhokathulaganyo / Thutelatseleng,Kufundza lokungakahleleki,U guda hu si ha fomaa/tshiofisi,Ku dyondza ko nkamafundza
91,Intake rate,"The proportion of children, out of all children of admission age, who are coming to school for the first time.",Education,Innamesyfer,Isilinganiso sabafikako,Umlinganiselo wolwamkelo,Isilinganiso sabemukelwayo/ sabathathwayo,Kelo ya ngwadio,Sekgahla sa ba qalang sekolo; palo ya ba qalang sekolong,Kelokwadiso,Lizinga lekwemukela,Tshikalo tsha hanganedzavhagudiswa,Mpimo wo amukela
92,Late starters rate,The proportion of all admissions to Grade 1 that are over the official admission age (over 7 years).,Education,Laatbeginnersyfer,Isilinganiso sabangena ngemva kwesikhathi,Umlinganisrelo wabaqala mva,Isilinganiso sabephuzayo ukuqala,Kelo ya ba go thoma morago,Sekgahla sa ba qalang ka morao ho nako; palo ya ba qalang ba le baholo,Kelo ya basimololathari,Lizinga lalabomacalamuva,Tshikalo tsha vhaanganedzwafhirelwa,Mpimo wa lava hundzeriweke hi nkarhi wo sungula xikolo
93,Learner,"Any person receiving education or obliged to receive education in terms of the South African Schools Act, 1996 (Act No. 84 of 1996).",Education,Leerder,Umfundi,"umfundi, umntwana wesikolo",Umfundi,Morutwana,Moithuti / Morutwana,Morutwana,Umfundzi,Mugudi,Mudyondzi
94,Learner-educator ratio,Total number of students enrolled in a given school divided by the total number of educators in the same school.,Education,Leerder: opvoeder-verhouding,Inani labafundi emfundisini,Umlinganiselo wabafundi kutitshala,Inani labafundi ngothisha,Tekanyokelo ya moithuti go morutii,Karolelano ya barutwana ho ya ka matitjhere; palo ya baithuti ba matitjhere,Kabo ya baithuti-morutabaneng,Sichatsanisosibalo sebafundzi nebafundzisi,Ndivhanele ya vhagudiswa kha mugudisi,Mpimoxiave wa vadyondzi eka mudyondzisi
95,Learning area,The domains through which learners in the GET and FET bands experience a balanced curriculum. They serve as a sound basis for developing the learning programme to be implemented in schools. Eight learning areas were identified for GET and FET bands. Deprecated term is subject.,Education,Leerarea,Isifundo,"isifundo, inkalo yesifundo",Isifundo,Thuto,Thuto,Serutwa,Sifundvo,Sia a ngudo,Xiyenge xo dyondza
96,Literacy,"Ability to read and write with understanding in any language. A person is literate who can, with understanding, both read and write a short simple statement on his everyday life.",Education,Geletterdheid,Ukufunda,Ulwazi lokufunda nokubhala,Ukwazi ukufunda nokubhala,Tsebo ya go bala le go ngwala,Tsebo ya ho bala le ho ngola,Bobuisokwalo,Kwati bubhala nekufundza,Vhufunzwa/itheresi,Vuswikoti byo hlaya no tsala/literesi
97,Literacy rate,"The proportion of the population above 15 years of age who can write and read with understanding, usually expressed as a percentage of the total population above that age.",Education,Geletterdheidskoers,Isilinganiso sefundo,Umlinganiselo wabakwazi ukufunda nokubhala,Izinga lolwazi lokufunda nokubhala,Kelo ya tsebo ya go bala le go ngwala,Sekgahla sa tsebo ya ho bala le ho ngola;palo ya ba tsebang ho ngola le ho bala,Kelobobuisokwalo,Lizinga lekwati kubhala nekufundza,Tshikalavhufunzwa/tshikalaitheresi,Mpimo wa vuswikoti byo hlaya no tsala/mpimo wa literesi
98,Literacy ratio,"The proportion of the population above 15 years of age who can write and read with understanding, expressed as a percentage of the total population of the same age.",Education,Geletterdheidsverhouding,Iretjhiyo yefundo,Umlinganiselo wkufunda nokubhala,Inani labanolwazi lokukufunda nokubhala,Tekanyokelo ya tsebo ya go bala le go ngwala,Palo ya ba tsebang ho bala le ho ngola,Kabo ya bobuisokwalo,Sichatsanisosibalo sekwati kubhala nekufundza,Ndivhanele ya vhufunzwa/ndivhanele ya itheresi,Mpimoxiave wa vuswikoti byo hlaya no tsala/mpimo xiave wa literesi
99,Non-formal education,"Non-formal education may take place both within and outside educational institutions, and may cater to persons of all ages. Depending on country contexts, it may cover educational programmes to impact adult literacy, basic education for out-of-school children, life-skills, work-skills, and general culture. Non-formal education programmes do not necessarily follow the ladder system, may have varying duration, and may or may not confer certification of the learning achieved.",Education,Nieformele onderwys,Ifundo engakahleleki / Ifundiso,imfundo engamiselekanga,Imfundo engahleliwe,Thuto ye e sego ya semmuo / Thuto ye e sa elwego ka sekolong,Thuto ntle le ho kena sekolo,Thutelatseleng / Thutotlhokathulaganyo,Imfundvo lengakahleleki,Pfunzo i si ya fomaa,Dyondzo yo nkamafundza
100,Part-time student,A student who does not receive full-time tuition.,Education,Deeltydse student,Umfundi ozifundelako,umfundi ongesosigxina,Umfundi wangasese,Moithuti wa nakwana,Moithuti wa nakwana,Moithutanakwana,Umfundzi wangasese,Mutshudeni a sa funzwi tshifhinga tshohe / Mutshudeni a sa dzheni tshikolo tshifhinga tshohe,Xichudeni xa nkarhinyana
101,Promotion rate,Percentage of learners promoted to the next grade in the following school year.,Education,Bevorderingskoers,Isilinganiso sokuphumelela/sokuphasa,Umlinganiselo wonyuselo,Izinga lokudlulisela phambili; izinga lokuphumelela,Kelotlhatloo,Palo ya ba pasitseng,Kelotlhatloso,Lizinga lekwedlulisela /lizinga lekuphasa,Tshikala-/ pfukisela-/ rathisela- / fhirisela phana,Mpimo wo hundzisela emahlweni
102,Pupil-teacher ratio,Total number of students enrolled in a given school divided by the total number of educators in the same school. Synonym is learner-educator ratio.,Education,Leerling: onderwyser-verhouding,Inani labafundi kutitjhere,Umlinganiselo katitshala ebantwaneni,Inani labafundi ngothisha,Tekanyokelo ya morutwana go morutii,Karolelano ya barutwana ho ya ka matitjhere; palo ya baithuti ka titjhere,Kabo ya baithutimorutabaneng,Sichatsanisosibalo sebafundzi nebafundzisi,Ndivhanele ya vhana kha mudededzi,Mpimoxiave wa vadyondzi eka mudyondzisi
103,Qualification,"Successful completion of a level of education or organized course of study, usually denoted by the acquisition of a certificate, e.g. school-leaving certificate, diploma, degree or professional title.",Education,Kwalifikasie,Izinga lefundo; ifundo,Umgangatho wemfundo,Iqophelo/izinga lemfundo eliphothuliwe,Phetho ya dithuto,Lengolo la thuto,Borutegi,Sicu,ndalukano,tidyondzo leti ti pasiweke
104,Repeater,A student who enrols in the same grade or year of study of the same educational programme for a second or further time.,Education,Herhaler,Umfundi obuyelelako,umfundi ophindayo,Umfundi ophindayo,Moithuti / Morutwana yo a boeletago,Mopheti,Mmoeletsi,Umfundzi lophindzako,Mudovhololi,Muvuyeleri
105,Repetition rate,The percentage of learners who are enrolled in the same grade in the current school year as in the previous school year.,Education,Herhalingskoers,Isilinganiso sokubuyelela,Umlinganiselo wokuphinda,Izinga lokuphinda,Kelo ya ba go bueleta,Sekgahla sa ba phetang; palo ya ba phetang,Kelopoeletso,Lizinga lalabaphindzako,Tshikalandovhololo,Mpimombuyelelo
106,Scholar,A person attending primary or secondary school.,Education,Skolier,Umfundi,Umfundi,Umfundi/ingane yesikole,Ngwana wa sekolo/ morutwana,Morutwana; moithuti,Morutwana (sekolo),Umfundzi,Mugudi / mugudiswa (tshikoloni),Mudyondzi
107,School,"An educational institution or that part of such an institution at which education and training, including pre-primary education, is provided and which is maintained, managed and controlled or subsidised by a provincial education department, excluding a university and technikon.",Education,Skool,Isikolo,isikolo,Isikole,Sekolo,Sekolo,Sekolo,Sikolo / Sikolwa,Tshikolo,Xikolo
108,Student,"A person attending a college, university or some other post-school educational institution, whether part-time or full-time.",Education,Student,Umfundi; isitjudeni,Umfundi,Umfundi/isitshudeni,Moithuti,Moithuti,Moithuti,"Sitjudeni, umfundzi",Mugudi / mugudiswa / mutshudeni,Xichudeni
109,Survival rate (education),"The percentage of a learner cohort that enters together in the first grade of primary education and that reaches a given grade (e.g. Grade 5) or the final grade of an education cycle, either with or without repeating a grade. See drop-out rate.",Education,Uithousyfer,Inani labaphumiseleko,Uthelekelelo lokuphumelela (kwimfundo),Izinga lokuqhubekela phambili/izinga labafike ebangeni elithile,Kelo ya bophologi,Sekgahla sa boiphihlelo ba bomphato,Kelophalolo,Lizinga lalababambelele / lizinga lekubambelela,Tshikalavhuhaphudzamazha kwaho (pfunzo),Mpimompaso/mpimo wo humelela (dyondzo)
110,Electricity tokens,Tokens to the equivalent of the free basic electricity that households are entitled to and for use in pre-paid electricity systems.,Energy,Elektrisiteitsbewys,Amayunithi wegezi wamahala,ikhadi lombane wasimahla,Ikhadi likagesi wamahhala,Dithoukene ta mohlagase,Thokene ya motlakase,Motlakasemphiwafela / Motlakasesesolo,Emakhadi agezi wamahhala,Thokheni ya muagasi,Thokene ya gezi
