eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso
gemeinschaft,gemeenskap (Duits: Gemeinschaft),i-gemeischaft,"uthungelwano, umthendeleko",i-gemeinschaft,ijimintjhafti,gemeinschaft,geminešafote,gemeinschaft,tshitshavha,vurhandzavaaki
genealogical method,genealogiese metode ,indlela yejiniyeloji,indlela yenzululwazi ngomlibo ,indlela yentalelwane,indlela yokulamana,mokgwa wa leloko,mokgwa wa tlhaloso ya lotso,mokgwa wa ho latela badimo ,ndodombedzavhushaka,maendlelo yo luka vuxaka bya ndyangu wo karhi
gender,"geslag, gender",ubulili,isini,bulili,ubulili,bong,bong,bong,mbeu,rimbewu
gender roles,"geslagsrolle, genderrolle",imisebenzi ngokobulili bomuntu,imisebenzi yesini,tindzima tebulili,iindima zobulili,karolo ya bong,ditiro tsa bong,seabo ho ya ka bong,mishumo nga mbeu,mikoka wa rimbewu
gender stereotypes,"geslagstereotipes, genderstereotipes",imibono ephendukezelwe ngokobulili,izakhiwo zeempawu zesini,tinkholelo letingesiwo emaciniso mayelana nebulili,imibono ehlanakelwako ngokobulili,kgethollo goba tlhaolo ka bong,dikakanyo tse e seng tsone ka bong,mehopolo ya maikutlo e latelang bong,mvumbopfanywa nga mbeu,mboyamelatlhelorin'we wa rimbewu
gender stratification,"geslagstratifikasie, genderstratigikasie",ukubekelelwa ngokobulili,ukuhlelwa kwesini,kubekelela bulili,ukutjhaphuluka komuntu ngokobulili,peakanyo go ya ka bong,kgaoganyo ya bong,tlhophiso ho ya ka bong,tshiṱalula nga mbeu,ntlawahato wa rimbewu ku ya hi xiyimo erixakeni
genitor,genitor ,owesilisa okuzalayo,"umanduleli, ukhokho",babe wemvelo babe lokutalako,ubabambala,tate wa madi,ntate ka tsalo,ntata motho,muṋe,tatana wa ngati
genotype,genotipe,ukufuza abazali,uhlobo lofuzo,lufuto,umhlobo weenthako zomzimba,mohuta wa popo,bogotso,jinothaepe - sebopeho ka dijini tsa motho,mvumbophaṱhi,ku tekela
gesellschaft,geselskap (Duits: Gesellschaft),i-gesellschaft,"iqela, isijadu",i-gesellschaft,umphakathi,"gesellschaft, setšhaba",geselešafote,gesellschaft,tshigwada,vuxaka ku ya hi matitwelo ya munhu
globalisation,globalisering,ukuthintana nomhlaba wonke,ukwenza eyehlabathi,kufaka umhlaba wonkhe,ikambiso yokusebenza ephasini mazombe,tswalano ya ditšhabatšhaba,boikagelano jwa ditšhaba tsa lefatshe,tsa lefatsheng lohle,ḽifhasiḽiṱanganeli,leswi fambelanaka ni misava hinkwayo
habitus,"bestaanswyse, habitus",ihebhithasi,"isiqhelo, umkhwa",i-habitus,ijamo lento,"madulo, legae, lefelo la bodulo",kagego ya botho,bodulo,"haya, vhudzulo",kaya
Hawthorne effect,Hawthorne-effek,umthelela kaHawthorne,isiphumo sika-Hawthorne,umtselela weHawthorne,Itjhuguluko leemfundo,dipoelo tša go se tshepege tša Hawthorne,sepheto sa ga Hawthorne ,sephetho sa Hawthorne,tsendamo ya Hawthorne,ku tisa ku cinca ko karhi ka maendlelo ya Hawthorne
hegemony,hegemonie,ihejimoni,"ubunkokeli, ubongameli",kubusa kwelicembu lelikhulu,ukusetjenziswa kwamandla ngabaphetheko,"hetšemoni, taolo ya dihlopha tše maatla go dihlopha tše fokolago",phekeetso ya ditlhopha tse di bokoa,kgatello ka sehlopha,tsikeledzo,ntshikilelo wa mafumelo ya ntlawa wo karhi ehenhla ka ntlawa wo karhi erixakeni
hermeneutics,hermeneutiek,iherminyuthikhsi,inzululwazi yokutolika,tindlelakuhumusha,iindlela zokuhlathulula,mokgwa wa phetolelo,thutopatlisiso ya tlhaloso ya sekwalwa,hermeneutics,hemenetiki,vuhlawuteri bya timhaka leti nga ni tihlamuselo leti tumbeleke
holistic,holisties ,okupheleleyo,equka konke,konkhe kuphelele,ngokupheleleko,"bogohle, bomoka",bojotlhe,"motho, ka ho phethahala","vhuḓalo, muthuwoṱhe",ntsakelo eka swiphemu hinkwaswo swa nchumu wo karhi
horticultural society,kleinskaalse tuinbougemeenskap ,umphakathi wehothikhalsha,umbutho wezinto ezilinyiweyo,ummango lolima tingadze,umphakathi osebenzisa amathulusi wezandla,setšhaba sa balemi,setšhaba sa balemi,setjhaba se phelang ka temo,vha ndimo ya khashambeu,vaaki lava nga ni vutshila bya mafambiselo na malawulelo ya vurimi
horticulture,"kleinskaalse tuinbou, hortologie",ihothikhalsha,ukulinywa kwemiyezo nemifuno,kulima sintfu,ubukghwari bokulima,"temo, borapa",temo ,temo-diratswana,ndimomavhuvhu,vutshila bya mafambiselo na malawulelo ya vurimi
hunter-gatherers,jagter-versamelaars,abalimi abangabakhi bezithombo nezithelo,abazingeli nabaqokeleli,batingelibalimi/batingeli lababuye babe balimi futsi,abaphila ngokulima nokuthiya,batsomi ba diphoofolo,batsomi ba e leng bakgobokanyi,batsomi-basedi,vhazwimivhatsheli,vahlengeleti va vuhloti na ntshovelo wa swirimiwa
hypothesis,hipotese ,ihayiphothisizi,ingcinga ethathwa iyinyaniso engekaqinisekiswa,lokucatjangwako lokungakacinisekiswa,umbono ongakaqinisekiswa,"haephothesese, mogopolo wo hlokago tiišo",kakanyo ya motheo ya patlisiso,mohopolo o hlokang ho netefatswa ,hyphothysisi,nkumbetelo wa nhlamulo ya vulavisisi
iconography,ikonografie,i-ikhonografi,umbhalo womfanekiso ongcwele,"i-ayikhonograji, i-conography",ibuthelelo leenthombe,diswantšho le maswao ao a bonalago,tshwantsho ya matshwao a sedumedi,ditshwantsho le diemahale tse tumisang,nyolovhuṱambo,dyondzo ya swifaniso na mifungho ya swa vukhongeri
id,id,i-idi,i-id,i-id,i-id,id (karolo ya maitshwaro a motho a go se laolege),tiori ya id,id,ḓimuthu,xirhurhelanyanyuko
identity,identiteit,ukuba nguye impela,uphawu lokuzazisa,kutatisa,ubunjalo bomuntu,boitsebišo,boitshupo,boitsebiso,vhunṋe,vutitivisi
image of limited good,beeld van beperkte goedheid ,umfanekiso wobuhle obunomkhawulo,umfanekiso wokulunga okunomda,umfanekiso walokuhle lokunemkhawulo,isithombe sepahla enomkhawulo,seswantšho sa go loka mo go fokoditšwego,setshwantsho sa thoto e e lekanyeditsweng,setshwantsho sa botle bo sehetsweng meedi,mbonalo ya u sa anda ha zwivhuya,xifaniso lexi nga rhelitiki moya swinene
imperialism,imperialisme,i-imperiyalizimu,inkolo yexabiso lezithanga,umbuso wenkhosi lephetse lamanye emave,umgomo wokungeza amandla wokuphatha kwesitjhaba,pholisi ya borena,boimperiale,puso e ikatisang ka dinaha tse ding,vhukoḽoni,ntirhiso wa matimba ya mafumelo ya tiko ro karhi ni le henhla ka matiko man'wana
incest taboo,bloedskandetaboe,ukunqabela ukuthandana nowakubo,uthintelo lombulo,lichilo lekuya emacansini kwetihlobo,ukukhandelwa kokuya emsemeni neenhlobo ,kilo ya thobalano,moila wa thobalano le balosika,moetlo o qobellang ho ilwa ha thobalano hara batho ba madi,muila wa vhudzekani ha vha dzofha ,xiyila xa swa le masangwini exikarhi ka maxaka
independent family household,onafhanklike gesinshuishouding,umndeni ozimele,likhaya lemndeni lotimele,likhaya lemndeni lotimele,umndeni okhululekileko,lapa le ikemetšego,lelapa le le ikemetseng,lelapa le ikemetseng,muḓiwoga,ndyangu lowu tiyimeleke
independent invention,onafhanklike ontwikkeling,ukuqamba okuzimele,ukuqamba okuzimeleyo,kuticambela lokutimele,ukusungula ngendlela etjhaphukileko,tlhamo ye ikemetšego,phetogo e e ikemetseng ya setso,ho amohela ditlwaelo tsa ba bang ,mveleletshiedzisa,vutumbuluxi lebyi tiyimeleke
indigenous people,inheemse mense,abantu bendabuko,abantu belizwe,bantfu bemdzabu,abantu bendabuko,batho ba setlogo,batho ba ba tlholegetseng mo nageng,matswallwa,vhongwaniwapo,vanhu vo sungula ku va kona emisaveni
induction,induksie,i-indakshini,"ukungenisa, ukubeka esikhundleni","kungeniswa, miswa",ikambiso yokwamukela,"kgakollo, tlhagišo",mokgwa wa go tsaya tshwetso go ya ka ditshekatsheko tse di rileng,qeto e akaretsang dintlha tse tsejwang,vhuangeredzi,vutoloveti bya matirhelo ya nhlangano wo karhi eka vathoriwa lavantshwa
industrialisation,industrialisasie,i-indastriyalizeshini,ukuseka amashishini,bumboni,"ikambiso yokuthuthukiswa kwamabubulo, amarhwebo",go thekga diintasteri,kitsiso ya madirelo,ho theha difaboriki tse kgolo,vhunḓowetshumo,vumaki
informant,informant,umhlinzekilwazi,umazisi,matisi,umbiki,"motsebiši, mmegi",mmoledi,motlalehi,mutsivhudzi,nhlori
instincts,instinkte,ukuzibonela ngokwemvelo,amathuku emveli,umuva wetimbili,imizwa yemvelo,setlhago,ditshikare,maikutlo a tlhaho a sa laoleheng,tsevheḓi,maangulelo ya matitwelo ya swihari eka leswi khumbaka matikhomelo na vutomi bya swona hi ku angarhela
institutional racism,institusionele rassisme,uhlelo lokungalingani ngokobuzwe,ubuhlanga ngokwamaziko,lubandlululo lwesikhungo,ibandlululo eenhlanganweni,sehlongwa sa kgethollo ya semorafe,kgethololo ya lotso ya setheo se se rileng,kgethollo ho ya ka morabe dithehong/mekgatlong ,tsandamirafho ya zwiimiswa,xihlawuhlawu xa ku ya hi ndhawu
interpellation,interpellasie,i-inthapheleshini,inkqubo yokucela inkcazo,busombono,umbono otjengisa umbono womuntu ongakaqinisekiswa,lereo la tumelo ya boitsebišo,phetolo ya boitshupo go ya ideoloji e e rileng,ho fetoha ha botho ba motho,tshiamukedzo,nkavanyeto wa nkhuluko wa mbhurisano wa le phalamende
interpretive approach,vertolkende benadering,indlela yokuchaza amasiko njengemibhalo ,indlela yokutolika,indlela lehumushako,indlela yokuhlathulula isiko,mokgwa wa tlhalošo,mokgwatebo wa tlhaloso,mokgwa wa tlhaloso/qapodiso,maitele a tsengulusamvelele,endlelo ra ku ya hi ku hlavutela
joint family household,gesamentlike gesinshuishouding,"umndeni omkhulu wasesithenjini, noma wenkosikazi egane amadoda ehlukene,  noma wezelamani ezishadile ",ikhaya losapho elidityanelweyo,umndeni lohlangene,indlu enomndeni obumbeneko,lapa la mohlakanelwa,lelapa la balelapa ba ba kopaneng,lelapa la malapa e kopaneng (la sethepu),"muṱa wa ṱhanganelano, hayahuṅwe",kaya ra ndyangu lowu vumbeke nyandza yin'we
kin,"familie, bloedverwante",umndeni,izalamane,"tihlobo ngekwemendvo, umshado","isihlobo, isinini","moloko, lešika",losika,ba madi,mashaka,maxaka
kinesics,"bewegingsleer, kinetika",ikhinisiksi,isifundo sonxibelelwano ngeentshukumo,i-kinesics,"ukusebenzisa izitho zomzimba ekulumeni, ikhinesiksi",thuto ya polelo ya ditšhupetšo le dika,puo ka mmele,thuto ya puisano ka ditho tsa mmele,khainesiki,dyondzo ya mahlavutelo ya swikoweto swa miri
kindred,(bloed)verwante,izihlobo,izalamane,buhlobo ,isihlobo,meloko ya motho,balosika,ba lelapa,mashaka,xaka ra ngati
kinship,verwantskap,ubundeni ,ubuzalwane,buhlobo,ubuhlobo,"lešika, leloko",lotso,leloko,vhushaka,vuxaka
kinship calculation,verwantskapberekening ,ukulinganisa ubundeni,ubalo lobuzalwane ,kubala buhlobo,ukubumbana ngobuhlobo,go balwa ga lešika,palelo ya lotso,tshebetso ya leloko (ya ho tswalana) ,vhutamashaka,nhlayelelo wa vuxaka
kula ring,kula-kring,ikhularingi,umbutho we-kula,i-kula ring,umhlambiso,"ringi ya kula, mokgwa wa moletlo",moletlo wa kanayo,kula ring,tshitendeledzi tsha tshumisano,rirhangu ra kula
language,taal,ulimi,ulwimi,lulwimi,ilimi,"polelo, leleme",puo   ,puo,luambo,ririmi
legend,legende,umzekeliso,"ilivo, inkcazelo",inganekomlandvo,inolwana-mlando,"nonwane, mabarebare",noolwane,pale,lungano,ntsheketomatimu
levirate,"swaershuwelik, leviraat",ukungena,ukungenela umfazi womkhuluwa oswelekile,kungena umfelokati,ilungelo lokuphakelwa,motsenedi,mokgwa wa go nyala motlholagadi wa morwarre,moetlo wa ho nyala mohlolohadi wa ngwaneno,vhuṱanzwamarumbi,vudyandzhaka
life cycle,lewensiklus,umjikelezo wempilo,umjikelo wobomi,umjikeleto wemphilo,umzombe wepilo,leboo la bophelo,tsheko ya botshelo,saekele ya bophelo,tshitendeledzi tsha vhutshilo,ndzhendzelekovutomi
liminality,liminaliteit ,iliminalithi,ukuba semdeni,kuba semkhatsini,isigaba esiqakathekileko somnyanya,kgato ye bohlokwa ya kgolo,pakagare ya dithuto tsa ngwao,ho ba maemong a bohareng a mehopolo,tshifhingoni,ku hundzulela
lineage,afkoms,uhlanga,umlibo wezalamane,kufuna buhlobo,ilamano leenhlobo ngokwabokhokho,sehlopha sa leloko ,lotso la letlhakore le le lengwe,tatelano ho tswa ho badimo,lutsinga,nandzelelano wa swirho swa ndyangu wo karhi
lineal kinship terminology,direkte verwantskapterminologie ,amathemu omndeni wohlanga,isigama somlibo wokuzalana ,emagama lakhomba buhlobo,itheminoloji yokulamana komhlobo owodwa weenhlobo,mareo a lešika la leloko la batswadi,lereo la lotso ,mareo a leloko la hlakore le le leng ,mathemovhushaka,theminoloji ya nandzelelano wa vuxaka bya swirho swa ndyangu wo karhi
lineal relative,direkte familielid ,isihlobo ngokohlanga,umlibo wokuzalana,tihlobo letitalwa ngukhokho munye,isihlobo seengazi,"boithato, boitshepo bja leloko la bogologolo goba lelokothwii",wa losika,tswalano ka madi hlakoreng le le leng,shakalutsinga,ku ya hi nandzelelano wa swirho swa ndyangu wo karhi
lingua franca,mengeltaal,ulimi lokuxhumana,ulwimi oluthethwa ngabantu bonke,i-lingua franca,ilimi lokuzwana,polelo ya kwano,puo ya kutlwano,puo e sebediswang ka bobatsi,luamboluṱanganyi,ririmi ra vutihlanganisi bya tinxaka to karhi leti hanyaka swin'we
magic,toorkuns,umlingo,ubugqi,umlingo,umlingo,"maleatlana, boloi",metlholo,mehlolo,"manditi, vhuṱolo",salamusi
mana,mana,imana,i-mana,i-mana,imana,mana,mana,mana ,mana,mana
matriarchy,moederreg,imathriyakhi,ulawulo lwenkosikazi,i-matriarchy,umphakathi obuswa bomma,pušo ka basadi,setšhaba sa puso ya basadi,puso ya basadi,muvhusokadzi kana muvhusotshisadzi,mafumelo lama rhangeleke hi vaxisati
matriclan,matrigale stamgroep,isizwe sikakhokho wesifazane,isiduko senkosikazi,i-matriclan,isiqhema esithatha bona bangehlangothini likamma,sehlopha sa leloko la bomosadi ntle le bopaki bja bogologolo,setlhopha sa lotso la ga mme,leloko la basadi,lusesekadzi kana lusesetshisadzi,nyimba ya le ka vamanana
matrifocal,matrifokale huishouding,umndeni kamama,ejolise kumama,kugcila kumake,umuzi onganababa,lapa la mosadi,mme jaaka tlhogo ya lelapa,taolo ya mme,"muḓikadzi, muḓitshisadzi",ndyangu lowu rhangeleke hi manana
matrilineal descent,matrilineêre afkoms,isizukulwana sikamama,ukuzalana kwicala likamama,buhlobo lobu-matrilineal ,iinhlobo zehlangothini likamma,"matrilineal decent, tatelano ya moloko wa bomosadi",lotso la ga mme,tatelano ka hlakoreng la mme,vhushaka ha mmeni kana vhushakamme,matumbulukelo ya munhu ku suka eka nandzelelano wa swirho swa ndyangu wa ka vamanana
matrilocality,matrilokaliteit,isiko lokuhlala nezihlobo zikamama,indawo yokuhlala kuloomama,kuhlala netihlobo tekhabomfati,iinhlobo zalokha nakuqedwa ukutjhada,lefelo la bomosadi,lefelobonno la balosika la mosadi,bodulo lapeng la mme,dzulomakhulu kana dzulo ha vhomakhulu,ku va wanuna a ya tshama emugangeni wa laha a tekeke kona nsati
melanin,melanien,imelanini,i-melanin,imelanin,into ekhiqizwa maseli akhethekileko,"melanine, mmala wo o tibilego",melanin,melanini,ndangavala ,wa nhlonge ya ribungwana lero rhomba swinene
meritocracy,meritokrasie,imeritokhresi,ulawulo ngokomvuzo,"kuhlonipheka, kufaneleka",lapha boke ubujamo buzuzwa ngokufaneleko,katlego go ya ka tiro,setšhaba se se atlegang ka tshwanelo,ho tshwaneleha,merithokirasi,mfumo wa varhangeri lava hlawuriweke ku ya hi vuswikoti bya vona
micro-level orientation,mikrovlakoriëntasie,ukwenzelana okuncane phakathi kwabantu ,ukuziqhelisa umphakamo omncinci,lizinga lelincane,ukuhlobana kweenhlobo ngokweendawo,thuto ya maemo a rilego a seleago,tshwenyegelo ya seemo ,tshekamelo maemong a manyane,zwiṱuku zwa vhutshilo,ntoloveto wa levhelentsongo
millenarian movement,beweging van die duisendjarige ryk,umkhankaso womhlaba omusha ,umbutho wesigaba seminyaka eliwaka,umnyakalinkhulu,isikhathi sekhulumnyaka,tshepelo ya mileniamo ,mokgatlho wa milininiamo,mokgatlo wa lefatshe le letjha,dzangano ḽa miḽeniamu,nhlangano wa mileniyamu
minority,minderheid,abayingcosana kunabanye,iqela elincinci,lidlandzana,ukuba yimbijana,"bonnyane, sehlopha se sennyane",babotlana,bonyane,vhasigathi,vutsongo
misogyny,"vrouehaat, misoginie",imisojini,inzondo yabasetyhini ,inzondo lecondziswe kulabasikati,ukuzonda abomma,tlhoyo ya basadi,letlhoo la basadi,lehloyo la basadi,tshisandavhahammeni,rivengo eka vaxisati
modernisation,modernisasie,ukwenza kuhambisane nesikhathi samanje,ukwenza ilungele amaxesha angoku/ukuhlaziya,"imphucuko, intfutfuko",ukutjhugulukela esikhathini sanje kwesiko,"boswa, bompsha",ntšhwafatso,ntjhafatso,vhumusalauno kana vhukhwinisavhutshilo,ximanguvalawa
moiety,helfte ,imoyeti,isiqingatha sento emthethweni,incenye,"umphakathi onabantu abayimbijana, imoyithi","seripa, bogare",karolwana ya setšhaba,karohanyo ho ba tse pedi ,moieti,swiphemu swa nchumu wo karhi
monogamy,"eenvrouhuwelik, eenwywery, monogamie",ukuthatha umfazi munye,ukutshatela emntwini omnye,kuba nemfati munye,umtjhado okhethekileko,"go nyala mosadi o tee, lenyalo la mogatša o tee",nyalano le molekane a le mongwe,lenyalo la monna a le mong le mosadi a le mong,nzeokaṅwe,vukati bya nuna un'we eka nsati un'we
monopoly,"alleenhandel, monopolie",imonopholi,uxhamlo-wedwa,ligunya lekutsengisa lelinikwa umuntfu munye,ukulawulwa siqhema sinye,"kgwebonoši, monopoli",kgwebanosi,"ho ba mong sebakeng , sa kgwebo",monophoḽi,vulawuri bya vukorhokeri byo karhi hi munhu un'we kumbe ntlawa wun'we ntsena
monotheism,"eengodedom, monoteïsme",ukukholwa nguNkulunkulu oyedwa,unqulo lothixo omnye,kukholelwa kuNkulunkulu kuphela,ikolelo yokobana uzimu munye,bodimotee,tumelo ya modimo a le esi,modimo a le mong,vhurerela mutumbukavhathu,ripfumela ra leswaku ku ni xikwembu xin'we
myths,mites,izinkoleloze,iintsomi,insumansumane,"iinolwana, iinganekwana",dinonwane,dikinane,dipale tse hlokang bopaki,ngano,swikholwakholwana
nation,nasie,isizwe,isizwe,sive,isitjhaba,setšhaba,setšhaba,setjhaba,lushaka,rixaka
nation-state,nasie-staat,umbuso wesizwe,ilizwe lesizwe,umbuso wesive,umbuso wesitjhaba esinomazibuse,morafe,naga ya setšhaba se le sengwe,naha e ipusang,shangoḽiḓivhusi,tiko leri tihlawulekisaka hi nchumu wun'we wa matimba
national culture,nasionale kultuur,amasiko esizwe,inkcubeko yesizwe,lisiko lesive,isiko lesitjhaba,setšo sa setšhaba,setso sa bosetšhaba,setho sa naha,mvelele ya lushaka,mfuwo wa rixaka
nationalities,nasionaliteite,izizwe,izizwe,tive,iintjhabatjhaba,ditšhaba ,merafe,ditjhaba,tshaka,tinxaka
natural selection,natuurlike seleksie,ukukhethela uhlobo oluzophila,ukhetho lwendalo,kukhetsa kwemvelo,ikhetho lemvelo,kgetho ya tlhago,tlhopho ya tlhago,kgetho ya tlhaho,vhunanguludzi ha mupo,mahlawulelo ya ku ya hi matshamelo ya swa ntumbuluko
negative reciprocity,negatiewe wederkerigheid,ukubuyiselana okuphikisayo,ukubuyiselana ububi,bundlelambili lobungakhi,ukurweyilelana hlangana nezitha,kabelano magareng ga manaba,kananyo ka go lekana,tshebeletsano e se nang molemo,ndalelano,vutikambisisi byo tsana
Neolithic (‘New Stone Age’),Neolities (van die Jonger Steentydperk),Okwesikhathi Sokubaza Amatshe,ixesha elitsha lokusebenzisa amatye njengezixhobo (‘i-New Stone Age’),sikhatsi Lesisha Sekusetjentiswa Kwematje Entiwe Emathulusi,iniyolithikhi (isikhathi sakade),maemo a theknolotši a go laetša tšweletšo ya dijo,Niolithiki ('Motlha o montšhwa wa tematemo'),‘Dilemo tse Ntjha tsa Majwe’,Neoḽithyki ('Tshikhathi Tshiswa tsha Matombo'),Niyolitiki ('Malembe ya Ribye Lerintshwa')
neolocality (neolocal residence),neolokaliteit,ukuhlala endaweni entsha bebodwa kwabasanda kushada,indawo entsha yokuhlala (i-neolocal residence),imphilo ngemuva kwekushada,indawo okuhlalwa kiyo ngemva komtjhado,madulo a maswa ka morago ga lenyalo,lefelobonno le banyalani ba nnang ba le babedi fela morago ga lenyalo,bodulo hole le malapa a tlhaho,vhubvatshitentsi,vuniyolitiki (vutshamo bya xiniyolitiki)
new (neo) racism,neorassisme,ukucwasa okusha ngokobuzwe,ubuhlanga obutsha (i-neo),lubandlululo lolusha,ibandlululo elitjha,teori ya kgethollo ye mpsha,bosemorafe jo bontšhwa,borabe bo botjha,tshiṱalulavhatsinda,xihlawulambala xintswa
nomadism,"trekkerslewe, nomadisme",ubuzulane,ubufuna-dlelo,kuzulazula,ukuba mkhambahlala,sehlopha sa badiši ba go se dule felo go tee,kgarakgatshego,ho dula o tsamaya ,vhuendelazwiko,nomadizimi
nonconformist behaviour,niekonformistiese gedrag,ukungavumi ukwenza okulindelekile,ukuziphatha okungalungelelanisi,indlela yekutiphatsa lephambene nekulunga,indlela engakhambisani neyabanye,motho wa go hloka maitshwaro,maitsholo a botsuolodi,boitshwaro bo sa ikobeleng,vhuḓifarivhupambuwi,matikhomelo lama nga xaxameliki na swilanguteriwa
norms,norme,inkambiso,izithethe,imitsetfo,amahlelo,maitshwaro ,ngwao,melao,mikhuvha,milawu ya matikhomelo
nuclear family household,kerngesin-huishouding ,umndeni wendoda nomfazi,ikhaya losapho lwesiqhelo ,umndeni lomncane,umndeni ozijameleko womfazi nendoda,balapa ba bopilwego ka lenyalo la mosadi/monna o tee,lelapa la bobedi jo bo nyalaneng le bana ba bone fela,bodulo ba lapa la setho ,muṱawoga,ndyangu lowukulu lowu khomaneke
oligarchy,oligargie ,i-oligakhi,ulawulo lwabantu abambalwa,umbuso welidlanzana lelifundzile,umthetho wabakhethiweko,"bakgomana, bahlomphegi",taolo ya batho ba maemo a a kwa godimo mo loagong,taolo ya ba mmalwa ,oḽigatshi,aligaki
